                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.47626,                0.24568,                0.82245,                0.98965,                0.99587,                0.98877,                0.89962,                 0.5857,                0.26508,                0.86155,             0.00052827,             0.00052827,             0.00052827
                     71,                0.48926,                0.24969,                0.82516,                0.98989,                0.99465,                0.98771,                0.89958,                0.58034,                0.26576,                0.85983,             0.00051177,             0.00051177,             0.00051177
                     72,                0.47871,                0.24713,                0.82083,                0.98788,                0.99694,                0.98853,                0.90165,                0.58505,                0.26378,                0.86193,             0.00049527,             0.00049527,             0.00049527
                     73,                0.46733,                0.24181,                0.81958,                0.99013,                0.99646,                0.98894,                0.90309,                0.57655,                  0.259,                0.85905,             0.00047876,             0.00047876,             0.00047876
                     74,                0.48004,                0.24537,                0.82062,                   0.99,                0.99688,                0.98857,                 0.9006,                0.57756,                0.26197,                0.86287,             0.00046226,             0.00046226,             0.00046226
                     75,                0.46889,                0.23921,                0.81959,                0.99078,                0.99564,                0.98874,                0.90189,                0.58411,                0.25922,                0.86299,             0.00044576,             0.00044576,             0.00044576
                     76,                0.46768,                0.23926,                0.82238,                0.98935,                0.99633,                0.98768,                0.89972,                0.57947,                 0.2578,                0.86152,             0.00042925,             0.00042925,             0.00042925
                     77,                 0.4638,                0.23848,                0.81945,                0.99138,                0.99579,                0.98899,                0.90017,                0.58025,                0.25951,                0.86295,             0.00041275,             0.00041275,             0.00041275
                     78,                0.46986,                0.23989,                0.81953,                0.99092,                0.99555,                0.98855,                0.90135,                0.57962,                0.26129,                0.86337,             0.00039625,             0.00039625,             0.00039625
                     79,                0.45358,                0.23425,                0.81839,                0.99024,                0.99591,                0.98875,                0.90228,                0.58072,                0.25725,                0.86261,             0.00037974,             0.00037974,             0.00037974
                     80,                0.46801,                0.23806,                0.82072,                0.98946,                0.99637,                0.98882,                0.90342,                0.57218,                0.25803,                0.85987,             0.00036324,             0.00036324,             0.00036324
                     81,                0.45788,                0.23541,                0.81859,                0.99036,                0.99532,                0.98911,                0.90171,                0.58204,                 0.2559,                0.86366,             0.00034674,             0.00034674,             0.00034674
                     82,                0.45159,                0.23177,                0.81625,                0.98973,                0.99526,                0.98872,                0.90402,                0.57582,                0.25658,                0.86333,             0.00033023,             0.00033023,             0.00033023
                     83,                 0.4537,                0.23178,                 0.8182,                0.98992,                0.99503,                0.98827,                 0.9035,                0.57438,                0.25541,                0.86381,             0.00031373,             0.00031373,             0.00031373
                     84,                0.45254,                0.23195,                0.81808,                0.99066,                0.99677,                0.98891,                0.90147,                0.57669,                0.25343,                0.86562,             0.00029723,             0.00029723,             0.00029723
